YEAR,MONTH_NAME,TOTAL_VOLUME,DETECTORSITE_NAME,LONGITUDE,LATITUDE,DETECTORSITE_SUBURB_NAME,DETECTORSITE_DIVISION_NAME
2023,August,385649.00000,5681/EB/RS,153.331048,-27.85309,Coomera,Division 3
2023,August,213471.00000,5507/NB/LS,153.289896,-27.816083,Pimpama,Division 1
2023,August,132666.00000,5507/EB/RS,153.289896,-27.816083,Pimpama,Division 1
2023,August,132666.00000,5507/EB/LS,153.289896,-27.816083,Pimpama,Division 1
2023,August,106230.00000,5671/SE/TS,153.300141,-27.822535,Pimpama,Division 3
2023,August,93657.00000,5507/WB/LS,153.289896,-27.816083,Pimpama,Division 1
2023,August,44827.00000,5404/NW/RS,153.303985,-27.997235,Nerang,Division 5
2023,August,675245.00000,5670/EB/RS,153.296534,-27.820959,Pimpama,Division 3
2023,August,398204.00000,5670/WB/TS,153.296534,-27.820959,Pimpama,Division 3
2023,August,27625.00000,5657/EB/LS,153.301531,-27.833659,Pimpama,Division 1
2023,August,124707.00000,5670/NB/RS,153.296534,-27.820959,Pimpama,Division 3
2023,August,117851.00000,5657/NB/TQ,153.301531,-27.833659,Pimpama,Division 1
2023,August,213471.00000,5507/NB/RS,153.289896,-27.816083,Pimpama,Division 1
2023,August,264914.00000,5674/EB/TS,153.292703296,-27.823498307,Pimpama,Division 1
2023,August,106230.00000,5671/SE/RS,153.300141,-27.822535,Pimpama,Division 3
2023,August,659284.00000,5143/SB/LQ,153.432431262,-28.037425098,Mermaid Beach,Division 10
2023,August,250757.00000,5439/EB/TS,153.404125635,-28.067152668,Robina,Division 11
2023,August,553454.00000,5410/EB/RS_1,153.346569,-27.95166,Parkwood,Division 6
2023,August,112996.00000,5548/SW/RS,153.32057208,-27.92654298,Pacific Pines,Division 5
2023,August,9235.00000,5029/SB/RS,153.40313412,-28.03220496,Broadbeach Waters,Division 10
2023,August,174092.00000,5395/SW/TQ,153.37482084,-28.04109003,Merrimac,Division 8
2023,August,88683.00000,5395/WB/RS,153.37482084,-28.04109003,Merrimac,Division 8
